season,episode,episode_index,title,directed_by,written_by,murderer_played_by,victim_played_by,original_air_date,columbo_first_appearance,run_time,occupation_of_murderer,network,description
3,5,22,Publish or Perish,Robert Butler,Peter S. Fischer,Jack Cassidy as Riley Greenleaf and John Chandler as Eddie Kane,Mickey Spillane as Alan Mallory and John Chandler as Eddie Kane,1974-01-13,885,4275,Book publisher,NBC,"Publisher Riley Greenleaf (Jack Cassidy) decides to kill his prolific author Alan Mallory (Mickey Spillane), for the insurance and also to keep him from defecting to another publisher. He hires ex-con and avid homemade bomb enthusiast Eddie Kane (John Chandler) to do the job. While Greenleaf is getting drunk at a nearby bar, Kane walks into Mallory's office and shoots him. To cover his tracks, Greenleaf then kills Kane with one of his own bombs, making it look like an accident. Columbo must discover the link between the two crimes.
Final clue/twist: Greenleaf hands over an old synopsis to Columbo, claiming it was Kaneâs, which allegedly proves that Kane had the idea for Mallory's latest book, and murdered him out of revenge for Mallory's having stolen it. Columbo finds out, however, that the ending of the book was actually developed very shortly before the murder, by Mallory and his agent (played by Mariette Hartley), to make sure the book was more appealing for a Hollywood film adaptation. Kane could not have known the new ending, so the synopsis must have been done by Greenleaf.

This episode has a split screen of Greenleaf's alibi and Mallory's murder. Mariette Hartley's role is similar to the one she played in Season 7's ""Try and Catch Me"". Spillane was the real-life author of Mike Hammer detective mysteries. Cassidy played the villain in three Columbo episodes: this one, Murder by the Book and Now You See Him..."
3,6,23,Mind over Mayhem,Alf Kjellin,"(S) Robert Specht; (T) Steven Bochco, Dean Hargrove & Roland Kibbee",JosÃ© Ferrer as Marshall Cahill,Lew Ayres as Howard Nicholson,1974-02-10,985,4225,Director of a think tank,NBC,"When Dr. Howard Nicholson (Lew Ayres) threatens to expose Neil Cahill (Robert Walker Jr.) for plagiarizing a paper from a recently deceased scientist, Neil's father, Dr. Marshall Cahill (JosÃ© Ferrer), director of a high-tech Pentagon think tank, kills Nicholson to protect his son's reputation. He programs a cybernetic robot codenamed MM-7 (Robby the Robot) to take his place overseeing a war exercise. The elder Cahill steals a car from the motor pool and drives to Nicholson's house. In the driveway, Cahill runs over Nicholson, then carries his body into the house, ransacking it to make it look like a burglary. To cover up damage the car received from the impact, Cahill backs his own car into it, with many witnesses to the accident. Jessica Walter plays Nicholson's wife, who happens to be Neil's psychotherapist. Robby the Robot guest stars as MM-7.

Final clue/twist: Columbo realizes early on that Marshall is the likely murderer after finding a burned match at Nicholson's home (Nicholson's wife doesn't smoke and Nicholson himself used a pipe lighter; therefore the match points to a cigar smoker, which Marshall is), but fails to unearth solid evidence against him. Columbo discovers that Marshallâs motive was based on his love for his son. Columbo frames and arrests the son, which causes the father to confess. This episode provides perhaps the most glaring example of Columbo using ethically dubious means to secure a murdererâs apprehension."
3,7,24,Swan Song,Nicholas Colasanto,(S) Stanley Ralph Ross; (T) David Rayfiel,Johnny Cash as Tommy Brown,Ida Lupino as Edna Brown and Bonnie Van Dyke as Maryann Cobb,1974-03-03,1320,5657,Famous singer,NBC,"Gospel-singing superstar Tommy Brown (Johnny Cash) is hugely successful. But he is unable to enjoy the usual benefits of fame and wealth. His zealous wife Edna (Ida Lupino) can prove he had committed statutory rape with one of his backup singers, Maryann. She watches him carefully when he is touring, and even blackmails him into giving all the proceeds from his concerts to her ministry.
Tommy decides to kill Edna and Maryann. He drugs both women to sleep while piloting a small, private plane flying to Los Angeles, then parachutes from the plane before it crashes into desert mountains. Brown lands roughly, hurting his leg. He hides the parachute and lies down near the burning plane wreckage, making it seem like he was thrown clear in a tragic crash caused by flying through bad weather. The FAA investigator (John Dehner) is ready to rule the crash was an accident. Edna's brother, Luke (Bill McKinney) appeals to Columbo to consider the case a possible homicide, based on his mistrust of Tommy. 

Final clue/twist: Columboâs investigation leads him to conclude that Brown must have used a home-made parachute to jump from the plane in midair, which he then hid somewhere in the mountains. Columbo tells Brown that a boy scout troop will be scouring the mountains for any wreckage from the crash. However, Brown seems unperturbed. At the airport before Brown is about to fly off to a concert, Columbo notices Brown taking his car rental keys with him onto the plane. Because he doesn't return the keys, Columbo concludes that Brown must be returning to Los Angeles. That night Brown drives up into the mountains and unearths the parachute, but he is caught bringing it back to the rental car by Columbo, hiding in wait. A relieved Brown asks Columbo if he's afraid to be alone with a killer; Columbo plays Brown's songs and says anyone who sings that well can't be all bad."
3,8,25,A Friend in Deed,Ben Gazzara,Peter S. Fischer,Richard Kiley as Mark Halperin and Michael McGuire as Hugh Caldwell,Rosemary Murphy as Margaret Halperin and an uncredited actress as Janice Caldwell,1974-05-05,927,5643,Deputy police commissioner,NBC,"When Hugh Caldwell (Michael McGuire) accidentally kills his wife during a fight, he calls his friend and neighbor, LAPD Deputy Commissioner Mark Halperin (Richard Kiley). Halperin helps Caldwell cover up the crime, then forces him to assist the following night in the drowning-murder of Halperin's own wife (Rosemary Murphy), a wealthy heiress whose money Halperin covets. Halperin arranges the situation to make it seem that a cat burglar (Val Avery), who has recently been active in their neighborhood, is the culprit in both killings, and orders Columbo to tailor his investigation to that theory. 
Final clue/twist: Columbo enlists the burglar's help in trapping the true murderers. Columbo creates fake files for the ""burglary investigation"" on which Halperin had ordered him to concentrate. While perusing the file, ostensibly to help Columbo, Halperin notes the burglarâs address. He hides jewelry taken from one of the murder scenes there, and shortly thereafter leads a raid on that apartment. Columbo confronts Halperin and accuses him of being involved in the murders. Halperin threatens Columboâs job, and is triumphant when the planted jewelry is found in the searched apartment. However Columbo reveals that he himself is renting the apartment, that the burglar has no connection to it. Since only Columbo and Halperin knew that address, Halperin must have planted the jewelry there, which in turns means he must have been involved in the murders.

The first murder victim, Janice Caldwell, is killed before the episode begins, and is seen only as a corpse. The actress playing the part is unknown."
4,1,26,An Exercise in Fatality,Bernard Kowalski,(S) Larry Cohen; (T) Peter S. Fischer,Robert Conrad as Milo Janus,Philip Bruns as Gene Stafford,1974-09-15,1030,5640,Owner of a chain of gyms / fitness expert,NBC,"Renowned exercise guru Milo Janus (Robert Conrad) runs a chain of successful gyms. His charm is not enough to calm the anger of franchise owner Gene Stafford (Philip Bruns), who has found out how Janus overcharges his franchises for equipment and supplies, depositing the profits in offshore bank accounts. When Stafford threatens to organize other victims of Janus and to go public with a class action suit, Janus kills him. He makes it look like Stafford was working out, trying to lift weights too heavy for him, with the result being that the barbell fell and crushed his windpipe. Collin Wilcox plays Ruth Stafford (the victim's distraught and sometimes boozy ex-wife/widow, who thoroughly mistrusts Janus), Gretchen Corbett plays Janus's secretary, and Pat Harrington, Jr. plays a shifty business associate of Janus.

Final clue/twist: From the way the shoelaces on the corpse were tied, Columbo deduces that Stafford did not tie his own sport shoes. Columbo concludes that the murderer must have put the shoes on Staffordâs feet, when he dressed the corpse in exercise clothing, and only Janus knew before the discovery of the body that Stafford was wearing exercise gear.  Throughout the episode multiple hints to the solution are given (including a sustained close-up of the victim's shoes, Columbo tying his own shoes several times, Columbo discussing his shoes with other characters, and by a character named ""Lacy"")."
4,2,27,Negative Reaction,Alf Kjellin,Peter S. Fischer,Dick Van Dyke as Paul Galesko,Antoinette Bower as Frances Galesko and Don Gordon as Alvin Deschler,1974-10-06,1230,5469,Photographer,NBC,"After years of marriage to his domineering wife, Frances (Antoinette Bower), professional photographer Paul Galesko (Dick Van Dyke) decides to kill her. He hires ex-con Alvin Deschler (Don Gordon) to rent an isolated ranch house. Galesko persuades his wife to accompany him there and she grudgingly agrees. He ties her to a chair, photographs the scene, and then shoots her. He sets things up so it will appear he is elsewhere when the pictures were taken. Galesko meets Deschler at a junkyard. After shooting Deschler with a revolver, Galesko shoots himself in the leg with the pistol used in the first murder, then plants that gun on Deschler so that it will appear the ""kidnapper"" was killed in self-defense. JoAnna Cameron plays Galesko's assistant, with whom he is planning a romantic getaway. Michael Strong, Larry Storch, Vito Scotti, and John Ashton guest star, as does Joyce Van Patten, playing a nun running a homeless shelter who assumes, when she meets Columbo, that he is down and out and in need of some food and a better coat. 
Final clue/twist: Columbo stages a false accusation using a mirror-inverted version of the kidnapping photo Galesko used to fabricate an alibi. The reverse negative shows a different time on a clock in the photo, a time for which Galesko has no alibi. An increasingly riled Galesko accuses Columbo of framing him with false evidence, and becomes more incensed when Columbo tells him the original photo was accidentally destroyed. Galesko grabs a camera from a shelf where there are twelve other cameras, and shows Columbo a negative that is still inside it. Galesko says the negative proves him right about which way the clock is pointing in the original photograph. Galesko has thus given himself away. He had no way of knowing which camera had been used as part of the kidnapping scheme, or that the negative was still in the back of that camera. Galesko, defeated, realizes that Columbo had staged the false arrest with the exact purpose of getting him to lose his cool so he would rashly identify the camera.
The outside set of Deschler's hotel room is the set of Psycho."
4,3,28,By Dawn's Early Light,Harvey Hart,Howard Berk,Patrick McGoohan as Lyle Rumford,Tom Simcox as William Haynes,1974-10-27,1040,5639,Head of a military academy,NBC,"Colonel Lyle C. Rumford (Patrick McGoohan), head of the Haynes Military Academy, an all-boys school, is told by the Board of Trustees president William Haynes (Tom Simcox), with whom Rumford has a contentious relationship, that due to declining enrollment it must be converted into a coed school. Haynes also makes clear that Rumford will no longer be in charge of the revamped institution. Rumford rigs a school cannon by blocking its discharge with a cleaning rag, then modifies a shell with a more powerful explosive so that the cannon will explode when Haynes fires it the next morning, at a ceremonial occasion. Rumford pins the accident on a cadet, Roy Springer (Mark Wheeler), who has a history of behavioral demerits. Eventually Rumfordâs own fanatical sense of duty provides Columbo the clues that lead to Rumfordâs incrimination.
Final clue/twist: Rumford, an absolute stickler for the academyâs rules, is determined to find a bottle of prohibited cider that he knows is on the premises. Columbo himself finds the cider, and realizes there is a connection between it and the murder. He gains the confidence of the cadets who made the cider, and has them tell him everything about how and when it was made. Once he learns that information, he asks Rumford if he had seen the cider previously. When Rumford says yes, it incriminates him. Columbo tells him he could have seen the cider only on the morning of the murder (the cider had been hung out to ferment at night, and as such was only visible around sunrise), and only if he was standing very near the cannon (because of the location of the trees on the academy grounds). So on the morning of the murder Rumford was not asleep, as he had claimed; instead, he must have been at the cannon. 

With this episode McGoohan won the first of his two Emmy Awards for Outstanding Guest Actor in a Drama Series. His second was for Agenda for Murder. Father and son Bruce Kirby and Bruno Kirby co-star, as a sergeant and a cadet, respectively. Bruce Kirby appears in a number of Columbo episodes. Madeleine Sherwood plays Rumford's no-nonsense secretary. Location filming took place at The Citadel in South Carolina."
4,4,29,Troubled Waters,Ben Gazzara,(S) Jackson Gillis; (S/T) William Driskill,Robert Vaughn as Hayden Danzinger,PoupÃ©e Bocar as Rosanna Wells,1975-02-09,44,5632,Auto executive,NBC,"While aboard a Mexican cruise he takes frequently, auto executive Hayden Danziger (Robert Vaughn) has been having an affair with the lounge singer Rosanna Wells (PoupÃ©e Bocar). When Wells threatens to expose their affair to Danziger's wife, Sylvia (Jane Greer), Danziger decides to get rid of Wells. To set up his alibi, he inhales some amyl nitrite to feign a heart attack in the swimming pool, so that he will be checked into the ship's hospital. 
During a lapse in security, Danziger dons a crewman's uniform, sneaks out of his hospital bed, and waits in Wells's cabin for her performance break. When Wells comes back, Danziger shoots her, plants evidence to implicate a band musician, Lloyd Harrington (Dean Stockwell) â who had been in a  relationship with Wells before she discarded him â ditches the pistol, and returns to the hospital before the doctors can find him missing. Columbo, vacationing on the cruise with his wife, is pressed into service by the ship's captain (Patrick Macnee). Bernard Fox and Robert Douglas also guest star.

Final clue/twist: Columbo convinces Danziger that he can only arrest Harrington if they find the gloves he used during the murder, which would have gunpowder residue on them. So Danziger puts on another pair of rubber gloves and, down in the shipâs engines where he cannot be heard, fires a gun from the magicianâs show. The gloves are then conveniently left by Danziger to be found by the shipâs crew. However when given the gloves to analyze, Columbo is no longer interested in powder burns, instead he finds Danziger's fingerprints on the inside of the gloves."
4,5,30,Playback,Bernard L. Kowalski,David P. Lewis & Booker T. Bradshaw,Oskar Werner as Harold van Wick,Martha Scott as Margaret Midas,1975-03-02,1078,4253,President of an electronics company,NBC,"Harold Van Wick (Oskar Werner), the controlling, arrogant, gadget-obsessed president of Midas Electronics, has wired his estate-home with closed-circuit television cameras and video recorders. His mother-in-law Margaret Midas (Martha Scott), who owns the company, and who blames a steep drop in profits on Van Wick's costly fascination with obscure gadgetry, orders him to resign his post by the following morning, or she will expose his philandering ways to his wife, her daughter, Elizabeth (Gena Rowlands). Van Wick has already set in motion a scheme to murder her. He rigs his high-tech home security system and shoots Margaret when she is in the viewing field of one camera, feeding a recording of an empty study to the guard monitoring the estate's rooms. Having already forced open a window and planted footprints outside it to make the murder look like the deed of a burglar, he then uses a timer to play back the tape of the shooting to the gatehouse guard's monitor to make it look like Margaret was shot by an intruder after Van Wick had left the house for a party. Robert Brown played Arthur Midas, Margaret's son and Elizabeth's brother. Patricia Barry plays the owner of an art gallery which provided Van Wick with his ostensible alibi, and Trisha Noble plays her sexy assistant, who may have had an affair with Van Wick.

Final clue/twist: Columbo notices, while viewing security monitor recordings from both before and after the murder, that Van Wick's invitation for the party was still on his desk after leaving for the party. Van Wick had presented the invitation to get access to the party that provided his alibi. So Margaret had to have been shot sometime before the security guard viewed it on the monitor, and, more damningly, Van Wick would practically have had to step over the body to retrieve his invitation before leaving for the party."
4,6,31,A Deadly State of Mind,Harvey Hart,Peter S. Fischer,George Hamilton as Mark Collier,Stephen Elliott as Carl Donner and Lesley Ann Warren as Nadia Donner,1975-04-27,884,4257,Psychiatrist,NBC,"Psychiatrist Dr. Mark Collier (George Hamilton) is having an affair with a patient of his, rich housewife Nadia Donner (Lesley Ann Warren). One day, Nadia invites Mark to a weekend sex vacation at the Donner beach house. Collier shows up at the beach house only to be unpleasantly surprised by Nadia's husband, Carl (Stephen Elliott). The two men get into a violent confrontation over Collier's affair with and drugging of Nadia, with Carl threatening to damage Collier's reputation. When Collier surprises Carl by attempting to leave with Nadia in tow, Carl attacks him. A scuffle ensues, which ends with Collier bludgeoning Carl with a fireplace poker. After telling Nadia to explain it to the police as a home invasion that turned tragic, done by several masked men, Collier drives off, almost running over a blind man walking his dog past the beach house. Investigating the scene, Columbo is not satisfied with Nadia's version of events, wondering why Nadia didn't see the headlights of the burglars' car. When Columbo tells Collier that Nadia's story is not credible, Collier secretly hypnotizes her into, in effect, committing suicide by taking a deadly dive from her fifth floor balcony into the swimming pool below.

Final clue/twist: Columbo claims to have a witness to the first murder. Collier is confronted with the eyewitness, a man wearing dark sunglasses who looks just like the blind man Collier narrowly avoided hitting with his car shortly after the murder. The man settles down on the couch, hands Columbo a match, and then identifies Collier as the driver he saw at around the time of the murder. Collier, as confident as ever, says that he has not been fooled, that he knows the man is blind, and thus cannot be a witness to anything. Collier challenges the man to read from a magazine he hands him, and is stunned when the man does read from it. Columbo reveals that the man is the brother of the actual blind man. But Collier has incriminated himself. In âknowingâ that the witness was blind, he has established that he was at the scene of the crime. He has in effect been an eyewitness against himself."
5,1,32,Forgotten Lady,Harvey Hart,William Driskill,Janet Leigh as Grace Wheeler,Sam Jaffe as Henry Willis,1975-09-14,1372,5610,Movie star,NBC,"When elderly physician Henry Willis (Sam Jaffe) refuses to finance a return to the spotlight for his wife, aging former movie star Grace Wheeler (Janet Leigh) kills him in his sleep, passing it off as a suicide. Their elderly butler (Maurice Evans) believes Grace was in a private screening room the entire time, watching one of her classic films.
Final clue/twist: Columbo believes that a discrepancy between the length of the movie and the time it took Grace Wheeler to watch it, including the few minutes it took her to fix the film after it ripped, proves that Grace spent some time away from the screening room. It was then, Columbo concludes, that she was out committing the murder.
This is one of the only two episodes in which the perpetrator is not arrested (the other being ""It's All In The Game""), as Ned Diamond (John Payne), Wheeler's longtime song and dance partner who has always loved Grace, falsely confesses to save her after Columbo informs him she is suffering from a degenerative brain disease (the primary reason her husband refused to finance her return as the physical strain of acting would have killed her) and likely no longer even remembers the murder. Nonetheless, Columbo is prepared to arrest her. Diamond makes his false confession to Grace who briefly becomes hysterical. Columbo arrests Diamond, both realizing that by the time he is cleared, Grace will have died. Columbo's normal instincts thwarted, he makes several half turns â as though to enter the screening room â where Grace, lost in the past, is watching the film, having already forgotten Diamond's confession. Columbo then leaves the mansion, following Diamond.
The episode features excerpts from the 1953 musical comedy Walking My Baby Back Home, which starred Leigh. It is Grace's favorite film, the one playing when she was committing the crime and the one she is watching, mesmerized, at the end of the episode.

An amusing concurrent side-story concerns Columbo's penchant for not carrying his firearm and his decade-long lapse in going to the range for shooting proficiency. He has been evading Sgt. Leftkowitz (Francine York) whose computer records show the lapses. Finally, while Columbo is eating an ice cream cone with his dog, an Internal Affairs officer tells him he has 24 hours to appear at the range or his badge will be pulled. (Columbo lends his badge to a crony whom he asks to go to the range in his place, claiming he cannot pass the shooting proficiency test.)"
5,2,33,A Case of Immunity,Ted Post,(S) James Menzies; (T) Lou Shaw,Hector Elizondo as Hassan Salah and Sal Mineo as Rachman Habib,AndrÃ© Lawrence as Youseff Alafa and Sal Mineo as Rachman Habib,1975-10-12,425,4256,Diplomat,NBC,"Hassan Salah (HÃ©ctor Elizondo), chief diplomat of the Legation of Suari, an Arab nation with a new young king, has a scheme for shifting power within his government. He enlists Rachman Habib (Sal Mineo), a naÃ¯ve idealist in the Legation, to help him stage the murder of a security officer, then plants evidence to make it look like the work of radicals.  Salah pins the murder on the now-absent Habib, who, as part of the plan, has gone into hiding.  Salah later kills Habib as well.  Columbo unravels the truth, but finds himself stymied by Salah's diplomatic immunity.  Columbo then meets the new king, who is on a diplomatic visit to the United States, and is liked by the young monarch.

Final clue/twist: Columbo gets Salah, still under diplomatic immunity, to confess to the murder with the king listening in from the next room. To stay in the U.S. rather than be sent back to Suari and the torture that it is implied he would face, Salah signs a confession and waives his immunity from prosecution."
5,3,34,Identity Crisis,Patrick McGoohan,William Driskill,Patrick McGoohan as Nelson Brenner,"Leslie Nielsen as A.J. ""Geronimo"" Henderson",1975-11-02,756,5634,CIA agent,NBC,"A CIA operative code-named ""Geronimo"" (Leslie Nielsen) contacts fellow CIA-operative, now working undercover as speech-writing consultant Nelson Brenner (Patrick McGoohan, who also directed), to demand his share of money from a previous operation they were involved in. It motivates Brenner to kill Geronimo. Columbo finds himself blocked at every turn by a man who knows a lot of private and classified secrets, and even by a visit from the Director of the Agency (David White).
Final clue/twist: Brenner's alibi, a taped speech for a client, is proven false when Columbo establishes that some statements in the speech were based on news that was not known until hours after the recording was allegedly made.

The episode features another French car, the CitroÃ«n SM. An inside joke is that the Director's name is Philip Corrigan (aka Secret Agent X-9). In a nod to McGoohan's role on The Prisoner, his character repeatedly uses the phrase ""Be seeing you"" in the episode.[1]"
5,4,35,A Matter of Honor,Ted Post,Brad Radnitz,Ricardo Montalban as Luis Montoya,Robert Carricart as Hector Rangel,1976-02-01,552,4252,Famous matador,NBC,"Retired and renowned matador Luis Montoya (Ricardo Montalban) is a Mexican national hero. His trusted bookkeeper, Hector Rangel (Robert Carricart)'s son Curro is also a bullfighter.  When Curro (A Martinez) is gored in the bullring, Montoya freezes up in fear and does not challenge the bull. He later decides to kill Hector, who knows what happened. Montoya lures Hector to the ring, where he shoots him with a tranquilizer gun, and unleashes the bull on the prone man. The result is that it appears Hector tried to take revenge on the bull that gored his son. Columbo, who just happens to be in Tijuana for the weekend, is recognized by a suspicious local chief of police (Pedro ArmendÃ¡riz Jr.), who enlists Columbo's help. 
Final clue/twist: Due to the condition of the muleta used to attract the bull, Columbo deduces the time frame of the murder, a period for which Montoya has no alibi. To prove Montoya's motive, Columbo persuades Curro to lure Montoya into the ring. The bull is then released, and the ex-matador again becomes paralyzed with fear, this time in front of witnesses. This episode is noteworthy as the murderer's motive is not revealed until the very end.

Montoya watches a film of himself as a matador, which uses footage from the 1947 movie Fiesta, in which Montalban plays a matador."
5,5,36,Now You See Him...,Harvey Hart,Michael Sloan,Jack Cassidy as Stefan Mueller,Nehemiah Persoff as Jesse Jerome,1976-02-29,1352,5130,Magician and club owner,NBC,"The Great Santini (Jack Cassidy) is a magician extraordinaire at a cabaret. He is also being blackmailed by his insatiably greedy employer, impresario Jesse Jerome (Nehemiah Persoff), over the fact that he is actually Sergeant Stefan Mueller, a former Nazi SS prison guard. Mueller tires of the arrangement and Jerome's demand for more money, and kills his blackmailer in the middle of his famed water tank escape act, giving himself what he believes to be an airtight alibi. He sneaks out of a room where he hides during the act, makes his way dressed as a waiter through the cabaret's kitchen and up to Jerome's office, shoots him, then returns to his act with nobody noticing. Robert Loggia plays Harry Blandford, the club's maÃ®tre d' and Jerome's less than enthusiastic business partner, whose personality was such that another character says of the late Jerome, ""To know him was to detest him.""
Final clue/twist: Santini is undone by the used carbon ribbon on Jerome's IBM Selectric typewriter. The carbon ribbon has a clear imprint of everything written with it, so it is in effect a copy of the letter Jerome was typing to send to federal authorities, which revealed the motive for the murder. At his arrest Santini remarks that he thought he had created the perfect murder; Columbo remarks that a ""perfect murder"" is only an illusion.

This was Cassidy's third and final Columbo episode. In all three he played the killer."
5,6,37,Last Salute to the Commodore,Patrick McGoohan,Jackson Gillis,Fred Draper as Swanny Swanson,John Dehner as Otis Swanson and Robert Vaughn as Charles Clay,1976-05-02,814,5519,Heir to a boat-building firm (? Fred Draper),NBC,"Commodore Otis Swanson (John Dehner) is a retired naval officer who owns a shipbuilding company, and is not happy with the shady dealings of his son-in-law Charles Clay (Robert Vaughn), who has turned the modest and upstanding business into a name-brand production line for status-seekers. Nor is he pleased with any of the people closest to him - his alcoholic daughter Joanna Clay (Diane Baker), his middle-aged playboy nephew Swanny Swanson (Fred Draper), his lawyer Jonathan Kittering (Wilfrid Hyde-White), and his shipyard manager Wayne Taylor (Joshua Bryant). He announces at his birthday party his intention to sell the company. That night, someone murders the Commodore. Although we don't see the murder on-screen, Clay is seen covering up the death by taking the Commodore's body out on his yacht at night and throwing it overboard. Columbo investigates with the help of a veteran sergeant and a 29-year-old rookie. The detective's conviction that Clay committed the crime proves premature and inaccurate, an unusual development for Columbo.  Clay himself turns up dead and Columbo realizes that someone else is responsible for both murders.
Final clue/twist: When Columbo holds what he says is Commodore Swanson's pocket watch to every suspect's ear, only Swanny disputes it, saying ""'Tisn't"" when he hears it ticking. The watch was broken at the time of the murder to create a false time frame, and only the murderer would have known the watch no longer works.(Clay's motive for covering up the murder is because he thought the killer was his wife due to planted evidence by Swanny; he was killed when he realized who the real killer was)

This episode departs from the usual Columbo format in several ways. First, the man implied to be the killer is not, and thus the episode becomes a true whodunit, with the actual murderer revealed at the end.  Second, neither of the two murders is shown.  Third, Columbo's personality is atypically agitated, impatient and less superficially amiable than in most other episodes.  Fourth, regular clichÃ©s such as ""Just one more thing"" and ""Something's been bothering me"" are absent from this episode.  Fifth, rather than working alone, Columbo works closely alongside two other police officers (played by Bruce Kirby and Dennis Dugan), who at times interrogate suspects. Finally, the episode departs from the usual style in presenting a far greater emphasis on comedy, including some minor slapstick elements, and features a less dramatic tone."
6,1,38,Fade in to Murder,Bernard L. Kowalski,(S) Henry Garson; (T) Lou Shaw and Peter Feibleman,William Shatner as Ward Fowler,Lola Albright as Claire Daley,1976-10-10,882,4227,TV detective,NBC,"Egocentric actor Ward Fowler (William Shatner), who portrays Detective Lucerne on a weekly TV show, is being blackmailed by his producer and ex-paramour, Claire Daley (Lola Albright), over the fact that he was a deserter in the Korean War. Fowler drugs a friend staying at his house watching a baseball game, puts it on tape delay, then dons a ski mask and pretends to rob a delicatessen where Claire is shopping. After Fowler knocks the proprietor unconscious and takes Claire's money, he shoots her dead, then ditches the gun and mask. He begins stepping in and out of character to ""assist"" Columbo with the investigation.
Final clue/twist: After Columbo has shaken Fowler's alibi, he confronts him with his biggest mistake. There are no fingerprints on the murder weapon, but Fowler left his fingerprints on the remaining live bullets inside the revolver's chamber.

Molly, Mr Daley's secretary, is played by Shera Danese, who would eventually marry star Peter Falk.[1]Walter Koenig guest stars as a police sergeant. The mechanical shark ""Bruce"" from Jaws makes a cameo as himself."
6,2,39,Old Fashioned Murder,Robert Douglas,(S) Lawrence Vail; (T) Peter S. Feibleman,Joyce Van Patten as Ruth Lytton,Peter S. Feibleman as Milton Schaeffer and Tim O'Connor as Edward Lytton,1976-11-28,1020,4351,Museum curator (?) in the family museum,NBC,"The Lytton family owns and operates an antiquities museum. Ruth Lytton (Joyce Van Patten) has dedicated her life to the museum, never marrying and having no children, although her niece Janie (Jeannie Berlin) is as close to her as a daughter. Her brother Edward (Tim O'Connor) is not nearly as dedicated to the family business as Ruth is; in fact, he plans to close the museum and sell the building, as it's been losing money for years. Ruth and Edward's sister (and Janie's mother) Phyllis Brandt (Celeste Holm) is a checked-out alcoholic who is likely to go along with Edward's decision. Ruth enlists Milton Schaeffer (Peter Feibleman), an ex-con who works as a guard at the museum, and whose brother Tim is having an affair with Janie, in a complex plot where Milton will steal some artifacts from the museum, fake his own death, and then flee the country while Ruth collects the insurance money. But her real goal is revealed when she  double-crosses Milton during the robbery, and shoots him dead, then kills Edward when he comes to investigate the gunshot. She then plants guns on both men to make it look like they killed each other. When Ruth realizes Columbo has not fallen for the staged robbery, she tries to frame Janie for involvement in the crimes.

Final clue/twist: Ruth plants an ancient belt buckle in Janie's room to frame her, and Janie is arrested for the murders. Columbo takes the buckle to Janie's prison cell. When Janie uses it as an ashtray, Columbo knows she has no idea what it is, so she could not possibly have had a hand in its theft. Columbo comes to believe that, many years before, Ruth killed Janie's father, Peter Brandt, whom she was going to marry until Phyllis snatched him away. To protect Janie, who does not know much about her fatherâs death and his relationships with the women in his life, Ruth persuades Columbo not to pursue those questions and in return she will confess to the two current murders."
6,3,40,The Bye-Bye Sky High IQ Murder Case,Sam Wanamaker,Robert Malcolm Young,Theodore Bikel as Oliver Brandt,Sorrell Booke as Bertie Hastings,1977-05-22,977,4207,Accountant (senior partner),NBC,"Bertie Hastings (Sorrell Booke) discovers that his friend, Oliver Brandt (Theodore Bikel), a senior partner in an accounting firm, has been embezzling money to support the expensive lifestyle of his beautiful wife, Vivian (Samantha Eggar). Hastings refuses to remain silent, even though he is friends with the volatile and egotistical Brandt. Brandt then plots Hastings's murder at the Sigma Society, the headquarters of a Mensa-type club for geniuses, intending to make it look like a burglary gone bad. 
Final clue/twist: Columbo uses Brandt's own Mensa-level intelligence and vanity, along with his dislike of the other people in the society, to trap him. After Columbo presents a ridiculous solution to how the murder took place, specifically on how the murderer timed things so the sounds of gunshots were heard coming from upstairs, immediately followed by the sound of a falling body, an outraged and insulted Brandt shows him exactly how it was done.

Jamie Lee Curtis has a small role as a surly coffee-shop waitress in just her 3rd TV appearance. This was the last episode to air under the NBC Mystery Movie brand before it was cancelled."
